上櫃股票融資融券餘額  日期: 96年04月23日
代號,  名稱,  前資餘額(張),  資買,  資賣,  現償,  資餘額,  資屬證金,  資限額,  資使用率(%), 前券餘額(張),   券賣,  券買,  券償,  券餘額,  券屬證金,  券使用率(%),  資券相抵(張),  備註 
8937,合騏,"1,498","0","257","0","1,241","167","20,004","6.2","0","0","0","0","0","0","0.0","0"," OX    "
8938,明安,"2,543","83","63","0","2,563","332","26,710","9.6","2","0","2","0","0","0","0.0","0","       "
8940,新天地,"3,811","59","87","0","3,783","492","11,315","33.43","17","0","0","0","17","15","0.15","2","$    B "
8941,關中,"8,184","132","78","0","8,238","914","23,347","35.29","402","0","3","0","399","0","1.71","15","       "
8942,森鉅,"10,842","500","697","5","10,640","1,653","16,395","64.9","493","0","9","6","478","96","2.92","11","       "
8996,高力,"2,095","650","727","0","2,018","247","9,750","20.7","0","1","0","0","1","0","0.01","51","       "
9951,皇田,"1,337","66","43","0","1,360","40","11,646","11.68","0","0","0","0","0","0","0.0","13","       "
9955,佳龍,"9,361","468","571","0","9,258","2,301","18,805","49.23","35","1","10","0","26","5","0.14","12","       "
9962,有益,"7,278","313","383","210","6,998","1,193","14,100","49.63","95","0","11","0","84","16","0.6","12","       "
,合計(張),"4,524,707","197,077","193,765","2,590","4,525,429",,,,"84,733","8,963","3,558","678","89,460",
,融資金(仟元),"83,936,353","4,140,091","3,943,167","47,815","84,085,462"
