期貨商代號,名稱,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計XIO,總計GTO,總計TGO,總計,市佔率
F029000,康和期貨,0,0,13176.00000000000000,0,0,0,25.00000000000000000,13201.00000000000000,4.000000000000000000,3.000000000000000000,26356.00000000000000,0,0,0,38.00000000000000000,26401.00000000000000,4.000000000000000000,3.000000000000000000,39532.00000000000000,0,0,0,63.00000000000000000,39602.00000000000000,2.380000000000000000
F039000,大昌期貨,0,23.00000000000000000,10947.00000000000000,17.00000000000000000,0,0,5.000000000000000000,10992.00000000000000,3.000000000000000000,35.00000000000000000,22547.00000000000000,47.00000000000000000,0,0,2.000000000000000000,22634.00000000000000,3.000000000000000000,58.00000000000000000,33494.00000000000000,64.00000000000000000,0,0,7.000000000000000000,33626.00000000000000,2.020000000000000000
F018000,元富期貨,0,16.00000000000000000,8868.000000000000000,0,0,0,2.000000000000000000,8886.000000000000000,12.00000000000000000,31.00000000000000000,21971.00000000000000,1.000000000000000000,0,0,2.000000000000000000,22017.00000000000000,12.00000000000000000,47.00000000000000000,30839.00000000000000,1.000000000000000000,0,0,4.000000000000000000,30903.00000000000000,1.850000000000000000
F007000,日盛期貨,0,7.000000000000000000,9091.000000000000000,0,0,0,1.000000000000000000,9099.000000000000000,0,13.00000000000000000,19181.00000000000000,0,0,0,2.000000000000000000,19196.00000000000000,0,20.00000000000000000,28272.00000000000000,0,0,0,3.000000000000000000,28295.00000000000000,1.700000000000000000
F030000,兆豐期貨,0,5.000000000000000000,5686.000000000000000,0,0,0,0,5691.000000000000000,0,14.00000000000000000,19438.00000000000000,0,0,0,0,19452.00000000000000,0,19.00000000000000000,25124.00000000000000,0,0,0,0,25143.00000000000000,1.510000000000000000
F034000,澳帝華期貨,0,0,8389.000000000000000,0,0,0,0,8389.000000000000000,0,0,12806.00000000000000,0,0,0,0,12806.00000000000000,0,0,21195.00000000000000,0,0,0,0,21195.00000000000000,1.270000000000000000
F005000,國票期貨,0,4.000000000000000000,4768.000000000000000,0,0,0,0,4772.000000000000000,1.000000000000000000,27.00000000000000000,13727.00000000000000,5.000000000000000000,0,0,0,13760.00000000000000,1.000000000000000000,31.00000000000000000,18495.00000000000000,5.000000000000000000,0,0,0,18532.00000000000000,1.110000000000000128
S592999,元富證券自營,0,0,5291.000000000000000,0,0,0,0,5291.000000000000000,0,0,13004.00000000000000,0,0,0,0,13004.00000000000000,0,0,18295.00000000000000,0,0,0,0,18295.00000000000000,1.100000000000000128
S585999,統一證券自營,0,0,5325.000000000000000,0,0,0,0,5325.000000000000000,0,0,12817.00000000000000,0,0,0,0,12817.00000000000000,0,0,18142.00000000000000,0,0,0,0,18142.00000000000000,1.090000000000000128
F021999,寶來曼氏期貨自營,0,0,6240.000000000000000,0,0,0,0,6240.000000000000000,0,30.00000000000000000,8116.000000000000000,0,0,0,0,8146.000000000000000,0,30.00000000000000000,14356.00000000000000,0,0,0,0,14386.00000000000000,0.860000000000000000
