期貨商代號,名稱,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計XIO,總計GTO,總計TGO,總計,市佔率
S109999,台灣工銀證券自營,0,0,555,0,0,0,0,555,0,0,875,0,0,0,0,875,0,0,1075,0,0,0,0,1075,0,0,1225,0,0,0,0,1225,0,0,3730,0,0,0,0,3730,0.0700000000000000128
S218000,亞東證券,0,0,878,0,0,0,0,878,0,0,1460,0,0,0,2,1462,0,0,652,0,0,0,0,652,0,0,508,0,0,0,0,508,0,0,3498,0,0,0,2,3500,0.06
S551999,永豐金證券自營,0,0,552,0,0,0,0,552,0,0,672,0,0,0,0,672,0,0,1372,0,0,0,0,1372,0,0,788,0,0,0,0,788,0,0,3384,0,0,0,0,3384,0.06
F029999,康和期貨自營,0,0,170,0,0,0,0,170,0,0,400,0,0,0,0,400,0,0,1210,0,0,0,0,1210,0,0,1445,0,0,0,0,1445,0,0,3225,0,0,0,0,3225,0.06
S884999,玉山證券自營,0,0,240,0,0,0,0,240,0,0,230,0,0,0,0,230,0,0,634,0,0,0,0,634,0,0,650,0,0,0,0,650,0,0,1754,0,0,0,0,1754,0.03
S844000,摩根大通證券,0,0,384,0,0,0,0,384,0,0,0,0,0,0,0,0,1230,0,0,0,0,0,0,1230,0,0,0,0,0,0,0,0,1230,0,384,0,0,0,0,1614,0.03
S645000,永全證券,0,0,308,0,0,0,0,308,0,0,480,0,0,0,0,480,0,0,497,0,0,0,0,497,0,0,244,0,0,0,0,244,0,0,1529,0,0,0,0,1529,0.03
S505000,大展證券,0,0,176,0,0,0,0,176,0,0,504,0,0,0,0,504,0,0,314,0,0,0,0,314,0,0,278,0,0,0,0,278,0,0,1272,0,0,0,0,1272,0.02
S538999,第一金證券自營,0,0,93,0,0,0,0,93,0,0,479,0,0,0,0,479,0,0,298,0,0,0,0,298,0,0,203,0,0,0,0,203,0,0,1073,0,0,0,0,1073,0.02
S703000,致和證券,0,0,317,0,0,0,0,317,0,0,256,0,0,0,0,256,0,0,135,0,0,0,0,135,0,0,108,0,0,0,0,108,0,0,816,0,0,0,0,816,0.01
F005999,國票期貨自營,0,0,58,0,0,0,0,58,0,0,212,0,0,0,0,212,0,0,326,0,0,0,0,326,0,0,112,0,0,0,0,112,0,0,708,0,0,0,0,708,0.01
F008999,統一期貨自營,0,0,312,0,0,0,0,312,0,0,40,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,320,0,0,0,0,320,0,0,672,0,0,0,0,672,0.01
S601000,奔亞證券,0,0,48,0,0,0,0,48,0,0,84,0,0,0,0,84,0,0,102,0,0,0,0,102,0,0,56,0,0,0,0,56,0,0,290,0,0,0,0,290,0.01
