期貨商代號,名稱,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計XIO,總計GTO,總計TGO,總計,市佔率
F014000,華南期貨,0,8,9920,12,0,0,0,9940,0,1,9080,5,0,0,0,9086,0,3,8121,0,0,0,0,8124,0,1,7432,4,0,0,0,7437,0,0,8835,1,0,0,0,8836,0,0,8089,25,0,0,0,8114,0,1,4656,20,0,0,0,4677,0,50,6541,5,0,0,0,6596,0,1,5280,5,0,0,0,5286,3,0,11558,30,0,0,0,11591,0,1,6413,7,0,0,0,6421,0,0,6686,5,0,0,0,6691,1,0,4492,1,0,0,0,4494,0,0,6088,4,0,0,0,6092,0,0,8918,0,0,0,0,8918,0,1,7956,0,0,0,0,7957,0,1,5240,0,0,0,0,5241,0,49,12861,0,0,0,0,12910,4,117,138166,124,0,0,0,138411,0.98
S126999,宏遠證券自營,0,0,8081,0,0,0,0,8081,0,0,7167,0,0,0,0,7167,0,0,10528,0,0,0,0,10528,0,0,11006,0,0,0,0,11006,0,0,4116,0,0,0,0,4116,0,0,7299,0,0,0,0,7299,0,0,3904,0,0,0,0,3904,0,0,3730,0,0,0,0,3730,0,0,7200,0,0,0,0,7200,0,0,5077,0,0,0,0,5077,0,0,6165,0,0,0,0,6165,0,0,5712,0,0,0,0,5712,0,0,5369,0,0,0,0,5369,0,0,7007,0,0,0,0,7007,0,0,3506,0,0,0,0,3506,0,0,7972,0,0,0,0,7972,0,0,5518,0,0,0,0,5518,0,0,26458,0,0,0,0,26458,0,0,135815,0,0,0,0,135815,0.97
S592999,元富證券自營,0,0,4518,0,0,0,0,4518,0,0,6833,0,0,0,0,6833,0,0,1545,0,0,0,0,1545,0,0,5489,0,0,0,0,5489,0,0,4701,0,0,0,0,4701,0,0,8133,0,0,0,0,8133,0,0,5249,0,0,0,0,5249,0,0,3853,0,0,0,0,3853,0,0,6361,0,0,0,0,6361,0,0,10697,0,0,0,0,10697,0,0,6057,0,0,0,0,6057,0,0,5860,0,0,0,0,5860,0,0,7920,0,0,0,0,7920,0,0,3910,0,0,0,0,3910,0,0,10727,0,0,0,0,10727,0,0,8575,0,0,0,0,8575,0,0,9857,0,0,0,0,9857,0,0,23901,0,0,0,0,23901,0,0,134186,0,0,0,0,134186,0.95
F002999,永豐期貨自營,0,0,4451,0,0,0,0,4451,0,0,5564,0,0,0,0,5564,0,0,3929,0,0,0,0,3929,0,0,4595,0,0,0,0,4595,0,0,13137,0,0,0,0,13137,0,0,8495,0,0,0,0,8495,0,0,3490,0,0,0,0,3490,0,0,9122,0,0,0,0,9122,0,0,7150,0,0,0,0,7150,0,0,18024,0,0,0,0,18024,0,0,1572,0,0,0,0,1572,0,0,271,0,0,0,0,271,0,0,1622,0,0,0,0,1622,0,0,1898,0,0,0,0,1898,0,0,4236,0,0,0,0,4236,0,0,2335,0,0,0,0,2335,0,0,5715,0,0,0,0,5715,0,0,11581,0,0,0,0,11581,0,0,107187,0,0,0,0,107187,0.76
S856000,新光證券,0,3,4494,0,0,0,0,4497,0,0,5710,0,0,0,0,5710,0,0,6251,0,0,0,0,6251,0,0,5935,0,0,0,1,5936,2,0,4120,0,0,0,0,4122,0,0,9260,0,0,0,0,9260,14,7,1703,0,0,0,1,1725,15,4,5896,0,0,0,0,5915,15,17,8858,0,0,0,0,8890,3,0,5193,11,0,0,0,5207,1,2,3109,20,0,0,0,3132,0,0,2372,0,0,0,0,2372,1,0,2272,0,0,0,0,2273,0,0,2176,0,0,0,0,2176,0,2,2189,0,0,0,0,2191,0,0,8565,0,0,0,1,8566,0,2,7249,10,0,0,0,7261,0,1,16690,0,0,0,0,16691,51,38,102042,41,0,0,3,102175,0.73
S538000,第一金證券,24,0,6408,0,0,0,0,6432,18,0,6235,5,0,0,1,6259,33,0,4879,5,0,0,0,4917,31,0,7350,6,0,0,0,7387,9,0,7007,0,0,0,2,7018,68,0,5666,40,0,0,0,5774,6,0,5038,30,0,0,1,5075,2,0,7106,0,0,0,0,7108,3,0,5826,15,0,0,0,5844,11,0,8344,18,0,0,1,8374,15,20,4186,0,0,0,1,4222,15,20,4065,6,0,0,2,4108,66,30,3414,20,0,0,2,3532,15,80,4954,17,0,0,0,5066,10,17,4307,21,0,0,2,4357,16,23,3258,25,0,0,0,3322,1,0,2868,54,0,0,1,2924,7,11,7910,3,0,0,4,7935,350,201,98821,265,0,0,17,99654,0.71
S126000,宏遠證券,0,3,4205,0,0,0,0,4208,0,0,4324,0,0,0,0,4324,0,0,3416,0,0,0,0,3416,0,0,2127,0,0,0,0,2127,0,0,381,0,0,0,0,381,0,0,7272,0,0,0,0,7272,0,14,1725,0,0,0,0,1739,0,2,9423,0,0,0,0,9425,0,8,4410,0,0,0,0,4418,0,0,9524,0,0,0,0,9524,0,0,643,0,0,0,0,643,0,0,8088,0,0,0,0,8088,0,0,5445,0,0,0,0,5445,0,9,2738,0,0,0,0,2747,0,8,1572,0,0,0,0,1580,0,6,5179,0,0,0,0,5185,0,6,572,0,0,0,0,578,0,11,12488,0,0,0,0,12499,0,67,83532,0,0,0,0,83599,0.59
S884000,玉山證券,0,0,6009,0,0,0,0,6009,12,0,4737,0,0,0,0,4749,0,0,4425,0,0,0,1,4426,0,0,5177,0,0,0,0,5177,0,0,5585,0,0,0,1,5586,0,0,6484,0,0,0,0,6484,0,0,4326,0,0,0,0,4326,0,0,4300,0,0,0,0,4300,0,0,2569,0,0,0,0,2569,0,0,4957,0,0,0,0,4957,0,0,3207,0,0,0,0,3207,0,2,2651,0,0,0,0,2653,0,10,2912,0,0,0,0,2922,0,13,2658,0,0,0,0,2671,0,3,2476,0,0,0,0,2479,0,0,2748,0,0,0,20,2768,0,0,2978,0,0,0,0,2978,0,3,9294,0,0,0,1,9298,12,31,77493,0,0,0,23,77559,0.550000000000000064
S888999,國泰證券自營,2,0,2334,0,0,0,0,2336,2,0,358,0,0,0,0,360,45,0,623,0,0,0,0,668,1,0,1661,0,0,0,0,1662,33,0,3431,0,0,0,0,3464,82,0,3404,0,0,0,0,3486,0,0,1221,0,0,0,0,1221,5,0,5309,0,0,0,0,5314,203,0,5160,0,0,0,0,5363,127,0,8491,0,0,0,0,8618,72,0,2379,0,0,0,0,2451,19,0,3662,0,0,0,0,3681,24,0,2867,0,0,0,0,2891,3,0,1980,0,0,0,0,1983,7,0,4245,0,0,0,0,4252,3,0,1210,0,0,0,0,1213,23,0,5373,0,0,0,0,5396,101,0,22961,0,0,0,0,23062,752,0,76669,0,0,0,0,77421,0.550000000000000064
S920999,凱基證券自營,20,0,4485,35,0,0,62,4602,28,2,3687,41,0,0,39,3797,6,5,4580,50,0,0,73,4714,0,0,3537,25,0,0,3,3565,7,56,4911,54,0,0,5,5033,26,8,4422,27,0,0,5,4488,0,6,1513,10,0,0,1,1530,1,0,1974,50,0,0,28,2053,21,48,1443,34,0,0,0,1546,59,35,2695,30,0,0,8,2827,20,20,2236,26,0,0,0,2302,4,0,1948,25,0,0,12,1989,21,10,1750,65,0,0,17,1863,9,40,4053,40,0,0,21,4163,0,0,2767,35,0,0,13,2815,9,0,4187,36,0,0,28,4260,0,4,4931,22,0,0,30,4987,37,25,10432,30,0,0,94,10618,268,259,65551,635,0,0,439,67152,0.48
