期貨商代號,名稱,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計XIO,總計GTO,總計TGO,總計,市佔率
F014000,華南期貨,1,0,8649,0,0,0,0,8650,0,23,9935,0,0,0,1,9959,0,10,8860,4,0,0,5,8879,0,60,7403,8,0,0,1,7472,0,1,5051,0,0,0,2,5054,0,0,6313,0,0,0,0,6313,0,46,12743,0,0,0,0,12789,0,4,14017,0,0,0,2,14023,0,4,6747,5,0,0,1,6757,0,24,7267,15,0,0,0,7306,0,85,3424,4,0,0,0,3513,0,25,8394,0,0,0,6,8425,0,42,6681,0,0,0,0,6723,0,0,7733,30,0,0,3,7766,0,0,6259,16,0,0,3,6278,0,0,5766,0,0,0,0,5766,0,26,6725,5,0,0,0,6756,0,0,8201,7,0,0,4,8212,0,0,4302,0,0,0,1,4303,0,0,7553,5,0,0,5,7563,1,350,152023,99,0,0,34,152507,1.02
S126999,宏遠證券自營,0,0,11802,0,0,0,0,11802,0,0,6543,0,0,0,0,6543,0,0,6981,0,0,0,0,6981,0,0,9074,0,0,0,0,9074,0,0,4337,0,0,0,0,4337,0,0,5901,0,0,0,0,5901,0,0,6086,0,0,0,0,6086,0,0,5735,0,0,0,0,5735,0,0,4842,0,0,0,0,4842,0,0,2275,0,0,0,0,2275,0,0,834,0,0,0,0,834,0,0,1987,0,0,0,0,1987,0,0,1490,0,0,0,0,1490,0,0,1573,0,0,0,0,1573,0,0,5982,0,0,0,0,5982,0,0,3771,0,0,0,0,3771,0,0,3532,0,0,0,0,3532,0,0,4635,0,0,0,0,4635,0,0,3786,0,0,0,0,3786,0,0,5734,0,0,0,0,5734,0,0,96900,0,0,0,0,96900,0.65
S884000,玉山證券,0,0,6832,0,0,0,20,6852,0,0,4623,0,0,0,10,4633,0,1,5972,0,0,0,12,5985,0,0,4739,0,0,0,20,4759,0,0,4585,0,0,0,3,4588,0,0,6685,0,0,0,20,6705,0,0,6339,0,0,0,0,6339,0,0,9384,0,0,0,60,9444,0,0,3068,0,0,0,0,3068,0,6,2622,0,0,0,1,2629,0,0,2079,0,0,0,60,2139,0,0,3311,0,0,0,60,3371,0,0,2577,0,0,0,5,2582,0,10,6413,0,0,0,3,6426,0,0,4395,0,0,0,0,4395,0,20,2527,0,0,0,5,2552,0,0,2677,0,0,0,0,2677,0,0,2996,0,0,0,3,2999,0,0,2426,0,0,0,1,2427,0,2,4028,0,0,0,0,4030,0,39,88278,0,0,0,283,88600,0.59
S538000,第一金證券,0,2,5747,0,0,0,2,5751,0,0,5371,0,0,0,0,5371,1,0,3342,0,0,0,0,3343,0,0,4433,0,0,0,1,4434,0,8,4111,0,0,0,0,4119,0,4,3748,0,0,0,2,3754,0,0,6671,0,0,0,0,6671,0,0,5580,0,0,0,2,5582,0,0,4247,0,0,0,12,4259,0,0,3357,0,0,0,4,3361,0,0,3010,0,0,0,1,3011,0,0,3930,0,0,0,0,3930,0,4,3555,0,0,0,2,3561,0,4,6942,0,0,0,1,6947,0,0,4006,0,0,0,0,4006,0,0,3096,0,0,0,2,3098,0,0,4645,0,0,0,0,4645,0,0,3334,0,0,0,1,3335,0,0,3009,0,0,0,1,3010,0,0,5542,0,0,0,13,5555,1,22,87676,0,0,0,44,87743,0.59
S592999,元富證券自營,0,0,4457,0,0,0,0,4457,0,0,2816,0,0,0,0,2816,0,0,3166,0,0,0,0,3166,0,0,5994,0,0,0,0,5994,0,0,2526,0,0,0,0,2526,0,0,3319,0,0,0,0,3319,0,0,5181,0,0,0,0,5181,0,0,3477,0,0,0,0,3477,0,0,3166,0,0,0,0,3166,0,0,3074,0,0,0,0,3074,0,0,2946,0,0,0,0,2946,0,0,7217,0,0,0,0,7217,0,0,6625,0,0,0,0,6625,0,0,10221,0,0,0,0,10221,0,0,3602,0,0,0,0,3602,0,0,1938,0,0,0,0,1938,0,0,2149,0,0,0,0,2149,0,0,7021,0,0,0,0,7021,0,0,2812,0,0,0,0,2812,0,0,4547,0,0,0,0,4547,0,0,86254,0,0,0,0,86254,0.58
S616999,中國信託證券自營,0,140,8221,1,0,0,0,8362,0,142,3893,0,0,0,0,4035,0,100,10126,0,0,0,0,10226,0,13,4257,0,0,0,0,4270,0,109,2678,0,0,0,0,2787,0,70,194,0,0,0,0,264,0,80,5162,0,0,0,0,5242,0,0,7064,0,0,0,0,7064,0,0,439,0,0,0,0,439,0,195,2156,0,0,0,0,2351,0,0,659,0,0,0,0,659,0,0,1055,0,0,0,0,1055,0,0,2934,0,0,0,0,2934,0,200,5716,0,0,0,0,5916,0,240,2434,0,0,0,0,2674,0,32,4770,0,0,0,0,4802,0,97,5682,0,0,0,0,5779,0,105,2692,0,0,0,0,2797,0,91,1641,0,0,0,0,1732,0,3,3171,0,0,0,0,3174,0,1617,74944,1,0,0,0,76562,0.51
F002999,永豐期貨自營,0,0,2877,0,0,0,0,2877,0,0,4171,0,0,0,0,4171,0,0,6629,0,0,0,0,6629,0,0,5452,0,0,0,0,5452,0,0,2450,0,0,0,0,2450,0,0,2494,0,0,0,0,2494,0,0,3941,0,0,0,0,3941,0,0,5052,0,0,0,0,5052,0,0,1057,0,0,0,0,1057,0,0,2745,0,0,0,0,2745,0,0,1301,0,0,0,0,1301,0,0,3788,0,0,0,0,3788,0,0,2939,0,0,0,0,2939,0,0,4900,0,0,0,0,4900,0,0,1709,0,0,0,0,1709,0,0,2570,0,0,0,0,2570,0,0,4039,0,0,0,0,4039,0,0,3325,0,0,0,0,3325,0,0,594,0,0,0,0,594,0,0,2269,0,0,0,0,2269,0,0,64302,0,0,0,0,64302,0.43
F001000,國泰期貨,1,0,3547,1,0,0,7,3556,0,0,5054,7,0,0,6,5067,0,0,3930,1,0,0,0,3931,0,1,5347,5,0,0,6,5359,0,0,3550,17,0,0,0,3567,0,1,4275,16,0,0,0,4292,0,1,4938,3,0,0,0,4942,0,0,4198,8,0,0,0,4206,0,0,1742,24,0,0,3,1769,0,0,1829,0,0,0,7,1836,0,4,2016,0,0,0,7,2027,0,4,2998,1,0,0,2,3005,0,0,1561,0,0,0,2,1563,0,1,3192,10,0,0,2,3205,0,0,3212,19,0,0,8,3239,0,0,1857,10,0,0,4,1871,0,0,2778,0,0,0,1,2779,0,7,2677,2,0,0,3,2689,0,4,1738,4,0,0,0,1746,0,0,3584,2,0,0,0,3586,1,23,64023,130,0,0,58,64235,0.43
S888999,國泰證券自營,0,0,6434,0,0,0,0,6434,0,0,4468,0,0,0,0,4468,0,0,5705,0,0,0,0,5705,0,0,3670,0,0,0,0,3670,0,0,1534,0,0,0,0,1534,0,0,3671,0,0,0,0,3671,0,0,3790,0,0,0,0,3790,0,0,4859,0,0,0,0,4859,0,0,1957,0,0,0,0,1957,0,0,703,0,0,0,0,703,0,0,985,0,0,0,0,985,0,0,2046,0,0,0,0,2046,0,0,2633,0,0,0,0,2633,0,0,2762,0,0,0,0,2762,0,0,6670,0,0,0,0,6670,0,0,1443,0,0,0,0,1443,0,0,2386,0,0,0,0,2386,0,0,2855,0,0,0,0,2855,0,0,1087,0,0,0,0,1087,0,0,2696,0,0,0,0,2696,0,0,62354,0,0,0,0,62354,0.42
F018999,元富期貨自營,0,0,4611,0,0,0,0,4611,0,0,2281,0,0,0,0,2281,0,0,4092,0,0,0,0,4092,0,0,7750,0,0,0,0,7750,0,0,676,0,0,0,0,676,0,0,4345,0,0,0,0,4345,0,0,3748,0,0,0,0,3748,0,0,2978,0,0,0,0,2978,0,0,3972,0,0,0,0,3972,0,0,2179,0,0,0,0,2179,0,0,1307,0,0,0,0,1307,0,0,2955,0,0,0,0,2955,0,0,1572,0,0,0,0,1572,0,0,2229,0,0,0,0,2229,0,0,2990,0,0,0,0,2990,0,0,3715,0,0,0,0,3715,0,0,1680,0,0,0,0,1680,0,0,2933,0,0,0,0,2933,0,0,1714,0,0,0,0,1714,0,0,3705,0,0,0,0,3705,0,0,61432,0,0,0,0,61432,0.41
