期貨商代號,名稱,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計XIO,總計GTO,總計TGO,總計,市佔率
F002999,永豐期貨自營,0,0,5112,0,0,0,0,5112,0,0,8388,0,0,0,0,8388,0,0,7415,0,0,0,0,7415,0,0,16838,0,0,0,0,16838,0,0,6345,0,0,0,0,6345,0,0,2714,0,0,0,0,2714,0,0,13179,0,0,0,0,13179,0,0,4128,0,0,0,0,4128,0,0,5250,0,0,0,0,5250,0,0,2878,0,0,0,0,2878,0,0,4264,0,0,0,0,4264,0,0,10056,0,0,0,0,10056,0,0,11328,0,0,0,0,11328,0,0,97895,0,0,0,0,97895,0.87
F001000,國泰期貨,0,1,5506,7,0,0,15,5529,5,83,8263,0,0,0,35,8386,5,63,5686,6,0,0,2,5762,6,84,6008,0,0,0,0,6098,22,22,4324,4,0,0,11,4383,8,38,2978,0,0,0,0,3024,16,71,4105,0,0,0,5,4197,10,1,2984,5,0,0,49,3049,4,0,4346,9,0,0,8,4367,5,36,3236,2,0,0,0,3279,0,15,2904,0,0,0,0,2919,12,37,3901,1,0,0,1,3952,6,0,2657,3,0,0,0,2666,99,451,56898,37,0,0,126,57611,0.51
F034000,澳帝華期貨,0,0,3420,0,0,0,0,3420,0,0,6067,0,0,0,0,6067,0,0,4138,0,0,0,0,4138,0,0,9630,0,0,0,0,9630,0,0,5975,0,0,0,0,5975,0,0,3010,0,0,0,0,3010,0,0,4024,0,0,0,0,4024,0,0,2831,0,0,0,0,2831,0,0,167,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,4410,0,0,0,0,4410,0,0,9936,0,0,0,0,9936,0,0,2245,0,0,0,0,2245,0,0,55853,0,0,0,0,55853,0.49
S884000,玉山證券,0,0,3650,0,0,0,12,3662,0,3,5582,0,0,0,0,5585,0,0,4133,0,0,0,0,4133,0,17,4818,0,0,0,0,4835,0,2,5150,0,0,0,15,5167,0,0,4017,0,0,0,0,4017,0,2,6387,0,0,0,40,6429,0,3,3604,0,0,0,7,3614,0,3,3976,0,0,0,0,3979,0,0,1901,0,0,0,0,1901,0,0,3449,0,0,0,3,3452,0,5,4312,0,0,0,5,4322,0,0,4586,0,0,0,46,4632,0,35,55565,0,0,0,128,55728,0.49
S856000,新光證券,0,7,3824,0,0,0,0,3831,0,1,6150,0,0,0,0,6151,0,0,4557,0,0,0,0,4557,0,50,6361,0,0,0,0,6411,0,3,5348,0,0,0,0,5351,0,0,2831,0,0,0,6,2837,0,3,5534,0,0,0,0,5537,0,10,3434,0,0,0,0,3444,0,5,3614,0,0,0,0,3619,0,1,1939,0,0,0,0,1940,1,3,2651,0,0,0,0,2655,1,4,4868,0,0,0,0,4873,0,0,2414,0,0,0,0,2414,2,87,53525,0,0,0,6,53620,0.47
S538000,第一金證券,0,0,4199,0,0,0,0,4199,0,4,7171,0,0,0,0,7175,0,9,3793,5,0,0,0,3807,4,0,5295,0,0,0,1,5300,0,7,3670,8,0,0,8,3693,0,11,2077,0,0,0,1,2089,0,3,5224,0,0,0,0,5227,0,1,3674,0,0,0,3,3678,0,2,3042,0,0,0,0,3044,0,6,1744,0,0,0,3,1753,0,0,3131,0,0,0,0,3131,0,1,5183,1,0,0,1,5186,0,0,4353,0,0,0,2,4355,4,44,52556,14,0,0,19,52637,0.47
S116999,日盛證券自營,0,0,1075,0,0,0,0,1075,0,0,3253,0,0,0,0,3253,0,0,1722,0,0,0,0,1722,0,0,8834,0,0,0,0,8834,0,0,5162,0,0,0,0,5162,0,0,2662,0,0,0,0,2662,0,0,6474,0,0,0,0,6474,0,0,1676,0,0,0,0,1676,0,0,4209,0,0,0,0,4209,0,0,1898,0,0,0,0,1898,0,0,2358,0,0,0,0,2358,0,0,4087,0,0,0,0,4087,0,0,7759,0,0,0,0,7759,0,0,51169,0,0,0,0,51169,0.45
S616999,中國信託證券自營,0,0,3911,5,0,0,0,3916,0,243,4975,0,0,0,0,5218,155,161,6714,0,0,0,0,7030,1,320,5464,0,0,0,0,5785,2,99,3342,0,0,0,0,3443,0,30,4049,5,0,0,0,4084,0,1043,4721,20,0,0,0,5784,0,446,2364,0,0,0,0,2810,0,234,519,0,0,0,0,753,0,129,635,0,0,0,0,764,0,398,1445,0,0,0,0,1843,0,2,979,0,0,0,0,981,130,0,1900,0,0,0,0,2030,288,3105,41018,30,0,0,0,44441,0.39
S126999,宏遠證券自營,0,0,1152,0,0,0,0,1152,0,0,2969,0,0,0,0,2969,0,0,2074,0,0,0,0,2074,0,0,1888,0,0,0,0,1888,0,0,2806,0,0,0,0,2806,0,0,4817,0,0,0,0,4817,0,0,4947,0,0,0,0,4947,0,0,2472,0,0,0,0,2472,0,0,3855,0,0,0,0,3855,0,0,2071,0,0,0,0,2071,0,0,3788,0,0,0,0,3788,0,0,5892,0,0,0,0,5892,0,0,5190,0,0,0,0,5190,0,0,43921,0,0,0,0,43921,0.39
F018999,元富期貨自營,0,0,1754,0,0,0,0,1754,0,0,3080,0,0,0,0,3080,0,0,1315,0,0,0,0,1315,0,0,2539,0,0,0,0,2539,0,0,3290,0,0,0,0,3290,0,0,2821,0,0,0,0,2821,0,0,4335,0,0,0,0,4335,0,0,3723,0,0,0,0,3723,0,0,3882,0,0,0,0,3882,0,0,2969,0,0,0,0,2969,0,0,3634,0,0,0,0,3634,0,0,5166,0,0,0,0,5166,0,0,4702,0,0,0,0,4702,0,0,43210,0,0,0,0,43210,0.38
