期貨商代號,名稱,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計XIO,總計GTO,總計TGO,總計,市佔率
F008000,統一期貨,4,7,42179,1,0,0,27,42218,1,1,29378,0,0,0,55,29435,0,31,41593,2,0,0,67,41693,2,111,32703,0,0,0,74,32890,0,4,21365,1,0,0,59,21429,3,88,25685,2,0,0,73,25851,1,7,21426,1,0,0,74,21509,47,15,53902,15,0,0,155,54134,24,34,31981,0,0,0,35,32074,3,1,22605,5,0,0,48,22662,66,9,30242,2,0,0,52,30371,1,106,39712,13,0,0,134,39966,2,126,34213,0,0,0,139,34480,0,26,35872,9,0,0,285,36192,0,24,23180,8,0,0,135,23347,160,312,46641,0,0,0,82,47195,0,140,59463,17,0,0,313,59933,0,9,26796,1,0,0,172,26978,0,2,36172,9,0,0,255,36438,314,1053,655108,86,0,0,2234,658795,3.38
B224999,中國信託商業銀行自營,113,385,52953,42,0,0,94,53587,120,397,27782,36,0,0,59,28394,152,289,37003,56,0,0,77,37577,63,473,33645,78,0,0,130,34389,140,157,26832,99,0,0,101,27329,102,313,19722,67,0,0,56,20260,63,177,18552,26,0,0,57,18875,160,4,57696,98,0,0,203,58161,121,772,35720,76,0,0,80,36769,124,630,22846,47,0,0,248,23895,297,869,36673,42,0,0,167,38048,1433,1008,43862,258,0,0,120,46681,9,156,22520,145,0,0,300,23130,159,415,27804,152,0,0,654,29184,21,74,18066,75,0,0,223,18459,135,339,29071,111,0,0,138,29794,128,14,70864,120,0,0,409,71535,173,182,20678,207,0,0,595,21835,1,151,35726,97,0,0,181,36156,3514,6805,638015,1832,0,0,3892,654058,3.35
F026000,富邦期貨,2,5,36466,196,2,0,2,36673,10,27,25282,169,0,0,4,25492,1,18,23951,60,0,0,8,24038,16,48,26336,95,0,0,1,26496,1,14,26380,95,0,0,9,26499,0,12,24707,50,1,0,5,24775,1,9,19981,145,1,0,1,20138,0,17,43324,182,0,0,14,43537,1,108,32264,161,0,0,1,32535,6,19,25852,169,0,0,3,26049,3,41,28431,440,0,0,6,28921,0,70,25876,489,0,0,3,26438,5,90,23639,80,0,0,4,23818,4,34,30084,76,0,0,34,30232,0,6,19792,80,0,0,19,19897,0,75,38454,89,0,0,2,38620,9,10,35511,92,0,0,5,35627,6,1,24458,216,0,0,24,24705,0,4,30155,112,0,0,11,30282,65,608,540943,2996,4,0,156,544772,2.79
F039000,大昌期貨,0,3,23189,0,0,0,28,23220,0,0,20864,32,0,0,4,20900,0,0,27290,2,0,0,9,27301,0,1,23348,25,0,0,9,23383,0,0,23289,18,0,0,3,23310,0,0,24101,20,0,0,33,24154,0,7,20850,20,0,0,11,20888,0,7,45777,3,0,0,75,45862,0,2,27483,0,0,0,7,27492,0,3,18673,5,0,0,17,18698,2,1,28791,0,0,0,18,28812,2,4,39346,10,0,0,37,39399,0,4,21448,3,0,0,38,21493,3,6,27258,18,0,0,434,27719,0,2,18032,2,0,0,154,18190,2,5,36793,10,0,0,41,36851,0,0,37306,2,0,0,188,37496,1,0,16840,10,0,0,90,16941,0,4,26145,33,0,0,44,26226,10,49,506823,213,0,0,1240,508335,2.61
F007000,日盛期貨,27,88,23666,4,0,0,0,23785,82,367,16375,0,0,0,5,16829,3,85,20802,0,0,0,5,20895,1,245,26080,1,0,0,1,26328,0,7,17682,0,0,0,7,17696,0,235,16177,3,0,0,3,16418,2,2,13541,3,0,0,0,13548,20,28,47570,1,0,0,53,47672,20,121,21464,2,0,0,62,21669,41,365,15403,0,0,0,39,15848,1,5,26165,1,0,0,13,26185,1,21,21902,3,0,0,0,21927,0,22,31151,2,0,0,52,31227,1,7,28351,2,0,0,55,28416,0,3,19327,5,0,0,35,19370,0,4,34368,6,0,0,24,34402,0,3,24424,3,0,0,61,24491,0,8,24696,1,0,0,4,24709,4,17,25880,4,0,0,9,25914,203,1633,455024,41,0,0,428,457329,2.34
F018000,元富期貨,7,7,19280,3,0,0,3,19300,1,1,13343,0,0,0,0,13345,3,1,18997,0,0,0,0,19001,10,9,17725,1,0,0,11,17756,2,0,16454,0,0,0,6,16462,0,10,16690,1,0,0,2,16703,0,9,14561,0,0,0,0,14570,11,5,29920,3,0,0,31,29970,5,5,20072,2,0,0,4,20088,0,3,17023,0,0,0,23,17049,1,0,21857,1,0,0,10,21869,1,0,21589,1,0,0,6,21597,2,0,20045,4,0,0,49,20100,0,2,25471,2,0,0,91,25566,0,3,13570,4,0,0,18,13595,1,6,25104,3,0,0,4,25118,5,0,23357,1,0,0,13,23376,3,4,13400,8,0,0,0,13415,0,1,20836,1,0,0,3,20841,52,66,369294,35,0,0,274,369721,1.9
F005000,國票期貨,0,11,15806,2,0,0,2,15821,0,2,11522,1,0,0,0,11525,0,7,12711,0,0,0,0,12718,1,13,11714,0,0,0,2,11730,1,5,8972,1,0,0,0,8979,0,4,10010,1,0,0,10,10025,0,19,9512,3,0,0,10,9544,0,13,20376,0,0,0,1,20390,0,14,14407,3,0,0,0,14424,0,8,10359,0,0,0,1,10368,0,12,14650,16,0,0,8,14686,4,9,14720,4,0,0,39,14776,1,7,15378,0,0,0,31,15417,0,5,16217,0,0,0,27,16249,0,0,8370,0,0,0,38,8408,0,11,18300,13,0,0,11,18335,0,0,18147,13,0,0,24,18184,1,7,8788,22,0,0,0,8818,0,10,15615,18,0,0,21,15664,8,157,255574,97,0,0,225,256061,1.31
F020999,群益期貨自營,0,40,13480,15,0,0,0,13535,0,0,16831,0,0,0,0,16831,0,0,15655,0,0,0,20,15675,0,0,13817,0,0,0,0,13817,0,40,16388,10,0,0,0,16438,0,0,14373,5,0,0,29,14407,0,80,13835,0,0,0,20,13935,0,40,23438,25,0,0,29,23532,0,0,8773,0,0,0,20,8793,0,0,8475,10,0,0,10,8495,0,0,13604,25,0,0,70,13699,0,0,7166,5,0,0,0,7171,0,0,10313,0,0,0,0,10313,0,0,16589,5,0,0,0,16594,0,0,16615,10,0,0,0,16625,0,20,26125,10,0,0,0,26155,0,102,5077,5,0,0,0,5184,0,4,302,0,0,0,80,386,0,0,136,20,0,0,0,156,0,326,240992,145,0,0,278,241741,1.24
S144000,美林證券,0,0,12573,0,0,0,0,12573,0,0,7236,0,0,0,0,7236,0,0,6020,0,0,0,0,6020,0,0,13717,0,0,0,0,13717,0,0,8649,0,0,0,0,8649,0,0,3823,0,0,0,0,3823,0,0,5219,0,0,0,0,5219,0,0,25066,0,0,0,0,25066,0,0,8085,0,0,0,0,8085,0,0,4915,0,0,0,212,5127,0,0,2510,0,0,0,180,2690,0,0,13416,0,0,0,0,13416,0,0,7741,0,0,0,0,7741,0,0,37412,0,0,0,0,37412,0,0,20421,0,0,0,0,20421,0,0,15400,0,0,0,0,15400,0,0,10458,0,0,0,0,10458,0,0,2572,0,0,0,370,2942,0,0,4701,0,0,0,2,4703,0,0,209934,0,0,0,764,210698,1.08
F030000,兆豐期貨,0,2,12027,0,0,0,2,12031,0,0,8085,0,0,0,7,8092,0,0,11541,0,0,0,4,11545,0,4,9087,0,0,0,16,9107,0,0,7496,0,0,0,13,7509,2,9,9756,0,0,0,0,9767,0,1,6728,0,0,0,0,6729,2,10,18068,0,0,0,3,18083,0,2,10779,0,0,0,2,10783,0,0,7478,9,0,0,0,7487,0,1,9589,7,0,0,0,9597,0,2,12601,7,0,0,37,12647,0,4,11140,0,0,0,5,11149,0,8,12359,0,0,0,61,12428,0,1,6493,0,0,0,10,6504,5,11,13592,0,0,0,33,13641,3,5,10322,0,0,0,91,10421,6,18,7564,23,0,0,1,7612,2,7,9376,0,0,0,3,9388,20,85,194081,46,0,0,288,194520,1
S592999,元富證券自營,0,0,10452,0,0,0,0,10452,0,0,3628,0,0,0,0,3628,0,0,9431,0,0,0,0,9431,0,0,13153,0,0,0,0,13153,0,0,7486,0,0,0,0,7486,0,0,18768,0,0,0,0,18768,0,0,5141,0,0,0,0,5141,0,0,24143,0,0,0,0,24143,0,0,11347,0,0,0,0,11347,0,0,12280,0,0,0,0,12280,0,0,12520,0,0,0,0,12520,0,0,17975,0,0,0,0,17975,0,0,6811,0,0,0,0,6811,0,0,6097,0,0,0,0,6097,0,0,6087,0,0,0,0,6087,0,0,8381,0,0,0,0,8381,0,0,6343,0,0,0,0,6343,0,0,5400,0,0,0,0,5400,0,0,8393,0,0,0,0,8393,0,0,193836,0,0,0,0,193836,0.99
F014000,華南期貨,0,9,14459,6,0,0,3,14477,0,0,8323,0,0,0,0,8323,0,40,10981,0,0,0,0,11021,0,4,10714,2,0,0,7,10727,0,4,8049,5,0,0,1,8059,0,11,7884,0,0,0,5,7900,1,6,7899,0,0,0,0,7906,0,7,15129,1,0,0,3,15140,0,86,9309,0,0,0,0,9395,0,2,8046,0,0,0,4,8052,0,7,8463,10,0,0,15,8495,0,4,10939,37,0,0,28,11008,0,20,9120,29,0,0,29,9198,0,26,9539,18,0,0,49,9632,0,0,5373,0,0,0,15,5388,0,2,11222,5,0,0,18,11247,0,2,10352,3,0,0,97,10454,0,0,6699,0,0,0,37,6736,2,0,8282,0,0,0,12,8296,3,230,180782,116,0,0,323,181454,0.93
S538000,第一金證券,2,0,9030,0,0,0,4,9036,0,0,6183,0,0,0,0,6183,0,0,8943,0,0,0,2,8945,2,2,7511,0,0,0,2,7517,0,0,4987,0,0,0,2,4989,0,0,7762,0,0,0,0,7762,0,1,4693,0,0,0,0,4694,0,1,13680,0,0,0,0,13681,0,0,7913,0,0,0,1,7914,0,4,7075,0,0,0,0,7079,0,4,9662,0,0,0,1,9667,0,0,11269,0,0,0,1,11270,0,0,8970,0,0,0,0,8970,0,0,13051,0,0,0,5,13056,0,0,9118,0,0,0,1,9119,0,0,14851,2,0,0,5,14858,0,0,11894,0,0,0,17,11911,0,0,5718,0,0,0,33,5751,0,0,8529,0,0,0,2,8531,4,12,170839,2,0,0,76,170933,0.88
S126999,宏遠證券自營,0,0,9060,0,0,0,0,9060,0,0,6186,0,0,0,0,6186,0,0,3975,0,0,0,0,3975,0,0,9152,0,0,0,0,9152,0,0,6735,0,0,0,0,6735,0,0,10151,0,0,0,0,10151,0,0,6946,0,0,0,0,6946,0,0,10046,0,0,0,0,10046,0,0,6798,0,0,0,0,6798,0,0,5391,0,0,0,0,5391,0,0,5547,0,0,0,0,5547,0,0,7393,0,0,0,0,7393,0,0,14909,0,0,0,0,14909,0,0,16090,0,0,0,0,16090,0,0,9528,0,0,0,0,9528,0,0,9318,0,0,0,0,9318,0,0,8456,0,0,0,0,8456,0,0,10478,0,0,0,0,10478,0,0,10477,0,0,0,0,10477,0,0,166636,0,0,0,0,166636,0.85
F002999,永豐期貨自營,0,0,9673,0,0,0,0,9673,0,0,5196,0,0,0,0,5196,0,0,8179,0,0,0,0,8179,0,0,4065,0,0,0,0,4065,0,0,2447,0,0,0,0,2447,0,0,3100,0,0,0,0,3100,0,0,5286,0,0,0,0,5286,0,0,17279,0,0,0,0,17279,0,0,5231,0,0,0,0,5231,0,0,5688,0,0,0,0,5688,0,0,7538,0,0,0,0,7538,0,0,13825,0,0,0,0,13825,0,0,8473,0,0,0,0,8473,0,0,8521,0,0,0,0,8521,0,0,758,0,0,0,0,758,0,0,9509,0,0,0,0,9509,0,0,13709,0,0,0,0,13709,0,0,4112,0,0,0,0,4112,0,0,6976,0,0,0,0,6976,0,0,139565,0,0,0,0,139565,0.72
S884000,玉山證券,0,0,9101,5,0,0,1,9107,0,1,4131,2,0,0,4,4138,0,0,5922,0,0,0,40,5962,0,0,7178,2,0,0,0,7180,0,0,5294,0,0,0,0,5294,0,3,5347,0,0,0,69,5419,0,4,4683,0,0,0,3,4690,0,21,7265,0,0,0,6,7292,0,0,6633,0,0,0,0,6633,0,26,7898,0,0,0,10,7934,0,23,6872,0,0,0,1,6896,0,1,3795,0,0,0,2,3798,0,0,5422,0,0,0,6,5428,0,3,4433,0,0,0,6,4442,0,0,4395,0,0,0,4,4399,0,1,5807,0,0,0,4,5812,0,2,9094,0,0,0,9,9105,0,0,6529,0,0,0,2,6531,0,0,8580,0,0,0,10,8590,0,85,118379,9,0,0,177,118650,0.61
F013000,大華期貨,2,2,9103,5,0,0,0,9112,0,0,7130,0,0,0,0,7130,0,0,8118,2,0,0,2,8122,1,3,8414,0,0,0,0,8418,0,3,9555,15,0,0,0,9573,4,0,7197,0,0,0,6,7207,0,0,4868,0,0,0,0,4868,0,7,14368,5,0,0,0,14380,0,0,7461,3,0,0,8,7472,0,4,5341,0,0,0,1,5346,0,8,6681,0,0,0,3,6692,0,13,9014,4,0,0,1,9032,0,12,6020,0,0,0,0,6032,0,7,7828,0,0,0,28,7863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,59,111098,34,0,0,49,111247,0.569999999999999936
S920999,凱基證券自營,0,20,5050,25,0,0,0,5095,0,40,4432,25,0,0,0,4497,0,0,6707,10,0,0,0,6717,0,0,4656,20,0,0,1,4677,0,0,4172,40,0,0,20,4232,0,0,6400,15,0,0,0,6415,0,0,5114,30,0,0,0,5144,40,20,8473,5,0,0,2,8540,0,60,11177,20,0,0,0,11257,0,0,8599,0,0,0,0,8599,0,20,3767,65,0,0,0,3852,0,0,4626,6,0,0,0,4632,1,41,4212,12,0,0,0,4266,40,45,5059,30,0,0,20,5194,0,0,1912,10,0,0,0,1922,8,56,6921,20,0,0,0,7005,15,70,5113,30,0,0,1,5229,0,23,4043,15,0,0,40,4121,0,46,5013,20,0,0,10,5089,104,441,105446,398,0,0,94,106483,0.550000000000000064
F001000,國泰期貨,6,6,7904,0,0,0,11,7927,6,1,4874,0,0,0,1,4882,0,7,4299,0,5,0,4,4315,0,14,5896,0,0,0,9,5919,0,2,4145,0,0,0,6,4153,0,2,4375,0,0,0,1,4378,0,1,4573,0,2,0,3,4579,0,0,7171,0,0,0,3,7174,0,0,5672,10,0,0,0,5682,0,0,4784,3,0,0,2,4789,0,0,5042,1,0,0,3,5046,0,0,6162,1,0,0,1,6164,0,0,4027,12,0,0,1,4040,2,4,5995,1,0,0,2,6004,0,0,3203,0,0,0,0,3203,1,4,7275,0,0,0,0,7280,3,0,5252,0,0,0,8,5263,0,0,2912,0,0,0,8,2920,4,0,3304,0,0,0,1,3309,22,41,96865,28,7,0,64,97027,0.5
S616999,中國信託證券自營,0,425,4646,0,0,0,0,5071,0,281,3101,0,0,0,0,3382,0,282,3610,0,0,0,0,3892,0,171,5453,0,0,0,0,5624,0,219,3654,0,0,0,0,3873,0,0,3563,0,0,0,0,3563,0,0,1589,0,0,0,0,1589,0,0,7382,0,0,0,0,7382,0,441,4146,0,0,0,0,4587,0,343,1733,0,0,0,0,2076,0,563,4501,0,0,0,0,5064,0,634,7335,0,0,0,0,7969,0,630,8047,0,0,0,0,8677,0,446,6825,0,0,0,0,7271,0,5,1861,0,0,0,0,1866,0,475,6037,0,0,0,0,6512,0,16,4576,0,0,0,0,4592,0,123,4635,0,0,0,0,4758,0,202,4697,0,0,0,0,4899,0,5256,87391,0,0,0,0,92647,0.48
S856000,新光證券,0,0,5127,0,0,0,0,5127,0,0,3161,0,0,0,0,3161,0,1,3460,0,0,0,0,3461,0,0,5980,0,0,0,0,5980,1,0,3275,0,0,0,0,3276,1,2,4636,0,0,0,0,4639,0,0,3752,0,0,0,0,3752,0,0,7723,0,0,0,0,7723,0,0,5801,0,0,0,0,5801,0,3,3841,0,0,0,0,3844,0,0,5193,0,0,0,0,5193,1,3,5748,0,0,0,0,5752,0,6,4040,0,0,0,0,4046,0,5,6602,0,0,0,0,6607,0,0,3205,0,0,0,0,3205,0,0,6860,0,0,0,0,6860,0,10,4733,0,0,0,0,4743,0,0,2834,0,0,0,0,2834,0,0,4944,0,0,0,1,4945,3,30,90915,0,0,0,1,90949,0.47
F018999,元富期貨自營,0,0,2801,0,0,0,0,2801,0,0,2196,0,0,0,0,2196,0,0,2944,0,0,0,0,2944,0,0,5676,0,0,0,0,5676,0,0,3710,0,0,0,0,3710,0,0,4586,0,0,0,0,4586,0,0,3035,0,0,0,0,3035,0,0,8155,0,0,0,0,8155,0,0,5177,0,0,0,0,5177,0,0,3907,0,0,0,0,3907,0,0,2835,0,0,0,0,2835,0,0,1850,0,0,0,0,1850,0,0,8651,0,0,0,0,8651,0,0,8436,0,0,0,0,8436,0,0,4197,0,0,0,0,4197,0,0,5402,0,0,0,0,5402,0,0,3917,0,0,0,0,3917,0,0,2938,0,0,0,0,2938,0,0,6714,0,0,0,0,6714,0,0,87127,0,0,0,0,87127,0.45
F004999,凱基期貨自營,0,0,6684,0,0,0,0,6684,0,0,932,0,0,0,0,932,0,0,1642,0,0,0,0,1642,0,0,4074,0,0,0,0,4074,0,0,1840,0,0,0,0,1840,0,0,2412,0,0,0,0,2412,0,0,986,0,0,0,0,986,0,0,13136,0,0,0,0,13136,0,0,3064,0,0,0,0,3064,0,0,5264,0,0,0,0,5264,0,0,6556,0,0,0,0,6556,0,0,3760,0,0,0,0,3760,0,0,3896,0,0,0,0,3896,0,0,2786,0,0,0,0,2786,0,0,1154,0,0,0,0,1154,0,0,5381,0,0,0,0,5381,0,0,6348,0,0,0,0,6348,0,0,3430,0,0,0,0,3430,0,0,6231,0,0,0,0,6231,0,0,79576,0,0,0,0,79576,0.41
F034000,澳帝華期貨,0,0,2198,0,0,0,0,2198,0,0,3959,0,0,0,0,3959,0,0,363,0,0,0,0,363,0,0,9102,0,0,0,0,9102,0,0,3609,0,0,0,0,3609,0,0,618,0,0,0,0,618,0,0,1666,0,0,0,0,1666,0,0,6975,0,0,0,0,6975,0,0,2174,0,0,0,0,2174,0,0,3142,0,0,0,0,3142,0,0,3455,0,0,0,0,3455,0,0,1339,0,0,0,0,1339,0,0,2775,0,0,0,0,2775,0,0,8632,0,0,0,0,8632,0,0,5300,0,0,0,0,5300,0,0,2232,0,0,0,0,2232,0,0,4312,0,0,0,0,4312,0,0,1698,0,0,0,0,1698,0,0,6956,0,0,0,0,6956,0,0,70505,0,0,0,0,70505,0.36
