期貨商代號,名稱,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計XIO,總計GTO,總計TGO,總計,市佔率
F005000,國票期貨,5,0,20333,0,0,0,0,20338,1,0,8880,0,0,0,0,8881,1,8,10069,0,0,0,0,10078,0,23,9499,5,0,0,2,9529,6,15,9494,5,0,0,3,9523,0,18,14005,0,0,0,3,14026,1,4,8184,0,0,0,0,8189,1,13,12809,5,0,0,0,12828,1,27,8778,0,0,0,6,8812,1,27,7776,10,0,0,5,7819,3,16,9771,0,0,0,0,9790,0,12,8911,3,0,0,6,8932,0,7,11194,1,0,0,0,11202,0,5,9799,0,0,0,7,9811,0,2,8410,0,0,0,1,8413,0,3,16867,0,0,0,2,16872,0,2,9216,0,0,0,2,9220,20,182,183995,29,0,0,37,184263,1.2
F030000,兆豐期貨,11,5,22103,0,0,0,5,22124,3,10,7866,0,0,0,6,7885,0,7,10322,0,0,0,2,10331,0,16,7368,0,0,0,27,7411,0,0,8750,0,0,0,15,8765,0,3,12480,0,0,0,4,12487,0,0,10061,11,0,0,3,10075,0,3,13459,0,0,0,16,13478,0,0,10271,0,0,0,14,10285,0,3,8523,0,0,0,12,8538,0,0,12301,5,0,0,13,12319,2,2,7026,1,0,0,5,7036,0,1,9983,30,0,0,7,10021,0,12,8743,10,0,0,3,8768,0,8,6975,0,0,0,24,7007,0,7,9453,0,0,0,1,9461,0,3,7023,15,0,0,0,7041,16,80,172707,72,0,0,157,173032,1.12000000000000016
S144000,美林證券,0,0,44245,0,0,0,0,44245,0,0,17648,0,0,0,0,17648,0,0,33064,0,0,0,0,33064,0,0,7828,0,0,0,0,7828,0,0,4266,0,0,0,0,4266,0,0,620,0,0,0,0,620,0,0,1213,0,0,0,0,1213,0,0,4187,0,0,0,0,4187,0,0,2318,0,0,0,40,2358,0,0,15310,0,0,0,0,15310,0,0,5731,0,0,0,0,5731,0,0,10836,0,0,0,0,10836,0,0,14171,0,0,0,0,14171,0,0,4694,0,0,0,0,4694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,616,0,0,0,0,616,0,0,166747,0,0,0,40,166787,1.08
S592999,元富證券自營,0,0,23575,0,0,0,0,23575,0,0,4967,0,0,0,0,4967,0,0,7494,0,0,0,0,7494,0,0,7591,0,0,0,0,7591,0,0,9372,0,0,0,0,9372,0,0,18375,0,0,0,0,18375,0,0,9666,0,0,0,0,9666,0,0,13872,0,0,0,0,13872,0,0,5769,0,0,0,0,5769,0,0,6517,0,0,0,0,6517,0,0,9960,0,0,0,0,9960,0,0,6381,0,0,0,0,6381,0,0,2468,0,0,0,0,2468,0,0,1820,0,0,0,0,1820,0,0,1289,0,0,0,0,1289,0,0,4551,0,0,0,0,4551,0,0,4790,0,0,0,0,4790,0,0,138457,0,0,0,0,138457,0.9
F014000,華南期貨,0,0,16082,0,0,0,0,16082,0,0,6792,19,0,0,0,6811,0,0,9028,0,0,0,0,9028,0,3,6219,0,0,0,0,6222,0,3,6703,0,0,0,0,6706,0,2,13173,0,0,0,0,13175,0,4,5534,0,0,0,0,5538,0,1,12016,0,0,0,0,12017,0,5,5803,0,0,0,0,5808,0,0,8056,1,0,0,0,8057,0,29,7175,40,0,0,0,7244,0,1,6708,27,0,0,2,6738,1,26,7945,10,0,0,0,7982,0,14,6156,20,0,0,0,6190,1,40,5388,5,0,0,1,5435,0,37,8532,0,0,0,0,8569,0,6,5141,0,0,0,0,5147,2,171,136451,122,0,0,3,136749,0.89
S888999,國泰證券自營,78,0,22397,0,0,0,0,22475,30,0,5659,0,0,0,0,5689,38,0,4231,0,0,0,0,4269,66,0,2171,0,0,0,0,2237,20,0,1302,0,0,0,0,1322,47,0,6384,0,0,0,0,6431,42,0,2936,0,0,0,0,2978,102,0,5394,0,0,0,0,5496,13,0,4409,0,0,0,0,4422,3,0,4881,0,0,0,0,4884,25,0,9427,0,0,0,0,9452,0,0,4125,0,0,0,0,4125,110,0,5345,0,0,0,0,5455,16,0,1842,0,0,0,0,1858,3,0,1591,0,0,0,0,1594,88,0,8301,0,0,0,0,8389,45,0,1639,0,0,0,0,1684,726,0,92034,0,0,0,0,92760,0.6
S126000,宏遠證券,0,8,16217,0,0,0,0,16225,0,4,5165,0,0,0,0,5169,0,4,2876,0,0,0,0,2880,0,6,2428,0,0,0,0,2434,0,8,1747,0,0,0,0,1755,0,4,10795,0,0,0,0,10799,0,0,1208,0,0,0,0,1208,0,24,4009,0,0,0,0,4033,0,0,4908,0,0,0,0,4908,0,0,5974,0,0,0,0,5974,0,0,2308,0,0,0,0,2308,0,0,3058,0,0,0,0,3058,0,2,3799,0,0,0,0,3801,0,2,9990,0,0,0,0,9992,0,0,6502,0,0,0,0,6502,0,0,4141,0,0,0,0,4141,0,0,5176,0,0,0,0,5176,0,62,90301,0,0,0,0,90363,0.59
S538000,第一金證券,0,0,13335,0,0,0,2,13337,0,0,3596,25,0,0,0,3621,20,2,4431,35,0,0,1,4489,2,0,4954,24,0,0,0,4980,0,0,3783,15,0,0,0,3798,0,0,9725,15,0,0,1,9741,0,0,4056,10,0,0,0,4066,0,0,5770,35,0,0,1,5806,0,0,3833,50,0,0,1,3884,0,0,5573,15,0,0,0,5588,0,0,5647,0,0,0,0,5647,0,0,4174,35,0,0,0,4209,0,0,4579,30,0,0,3,4612,0,0,3904,81,0,0,1,3986,0,0,3216,65,0,0,0,3281,0,0,5810,10,0,0,1,5821,0,1,2202,50,0,0,0,2253,22,3,88588,495,0,0,11,89119,0.58
S856000,新光證券,0,22,7534,0,0,0,0,7556,0,0,3772,0,0,0,0,3772,0,0,5059,0,0,0,0,5059,0,7,3117,0,0,0,0,3124,0,0,3362,0,0,0,0,3362,0,2,7422,0,0,0,0,7424,0,2,3010,10,0,0,0,3022,0,0,8202,0,0,0,0,8202,0,0,6026,0,0,0,0,6026,0,20,8103,10,0,0,0,8133,0,15,5966,0,0,0,0,5981,6,16,5927,2,0,0,0,5951,1,10,3941,0,0,0,0,3952,1,8,3078,1,0,0,0,3088,0,0,4888,0,0,0,0,4888,0,7,4898,0,0,0,0,4905,0,6,2425,0,0,0,3,2434,8,115,86730,23,0,0,3,86879,0.560000000000000064
F004999,凱基期貨自營,0,0,10432,0,0,0,0,10432,0,0,5202,0,0,0,0,5202,0,0,4934,0,0,0,0,4934,0,0,2576,0,0,0,0,2576,0,0,4452,0,0,0,0,4452,0,0,5442,0,0,0,0,5442,0,0,342,0,0,0,0,342,0,0,3724,0,0,0,0,3724,0,0,3066,0,0,0,0,3066,0,0,1544,0,0,0,0,1544,0,0,4106,0,0,0,0,4106,0,0,4606,0,0,0,0,4606,0,0,2416,0,0,0,0,2416,0,0,2396,0,0,0,0,2396,0,0,1102,0,0,0,0,1102,0,0,8196,0,0,0,0,8196,0,0,3678,0,0,0,0,3678,0,0,68214,0,0,0,0,68214,0.44
